Survived,Pclass,Sex,Fare,FamilySize,IsAlone,AgeGroup
1,1,1,39.4,2,0,1
0,2,1,26.0,2,0,3
1,3,1,9.35,2,0,1
1,1,1,164.8667,3,0,3
1,1,0,26.55,1,1,3
1,3,1,19.2583,4,0,2
0,3,0,7.2292,1,1,4
0,3,0,14.1083,3,0,3
0,2,0,11.5,2,0,2
1,1,1,25.9292,1,1,3
0,3,1,69.55,11,0,4
0,2,0,13.0,1,1,2
1,2,1,13.0,1,1,3
1,2,1,13.8583,2,0,2
0,1,0,50.4958,1,1,2
0,3,0,9.5,1,1,4
1,3,0,11.1333,3,0,0
0,3,0,7.8958,1,1,2
1,1,1,52.5542,3,0,3
0,1,0,5.0,1,1,2
0,3,0,9.0,1,1,3
1,2,1,24.0,2,0,2
1,3,1,7.225,1,1,1
0,3,0,9.8458,1,1,2
0,3,0,7.8958,1,1,1
0,3,0,7.8958,1,1,4
1,1,1,83.1583,2,0,4
1,2,1,26.0,2,0,2
0,3,0,7.8958,1,1,2
0,3,1,10.5167,1,1,2
0,2,0,10.5,1,1,2
0,3,0,7.05,1,1,2
0,3,1,29.125,6,0,3
0,2,0,13.0,1,1,2
1,1,1,30.0,1,1,1
0,3,1,23.45,4,0,4
1,1,0,30.0,1,1,2
0,3,0,7.75,1,1,2
